Model, MRP, Price, Avalability_status, Rating, Ram_Rom, Display, Camera, Battery
Samsung Galaxy J5 (White| 8 GB),11390,7990,Out Of Stock,4.3,1.5 GB RAM | 8 GB ROM | Expandable Upto 128 GB,12.7 cm (5 inch) HD Display,13MP Rear Camera | 5MP Front Camera,2600 mAh Battery
Moto G (3rd Generation) (Black| 16 GB),10999,10999,Out Of Stock,4.3,2 GB RAM | 16 GB ROM | Expandable Upto 32 GB,12.7 cm (5 inch) HD Display,13MP Rear Camera | 5MP Front Camera,2470 mAh Battery
Moto G (3rd Generation) (Black| 8 GB),9999,9999,Out Of Stock,4.2,1 GB RAM | 8 GB ROM | Expandable Upto 32 GB,12.7 cm (5 inch) HD Display,13MP Rear Camera | 5MP Front Camera,2470 mAh Battery
Honor 5C (Gold| 16 GB),9999,8999,Out Of Stock,4.2,2 GB RAM | 16 GB ROM | Expandable Upto 128 GB,13.21 cm (5.2 inch) Full HD Display,13MP Rear Camera | 8MP Front Camera,3000 mAh Li-Polymer Battery
Honor 5C (Silver| 16 GB),9999,8999,Out Of Stock,4.2,2 GB RAM | 16 GB ROM | Expandable Upto 128 GB,13.21 cm (5.2 inch) Full HD Display,13MP Rear Camera | 8MP Front Camera,3000 mAh Li-Polymer Battery
Redmi 3S Prime (Silver| 32 GB),8999,8999,Out Of Stock,4.3,3 GB RAM | 32 GB ROM | Expandable Upto 128 GB,12.7 cm (5 inch) HD Display,13MP Rear Camera | 5MP Front Camera,4100 mAh Li-Ion Polymer Battery
Redmi Note 5 (Rose Gold| 32 GB),9999,9999,Out Of Stock,4.4,3 GB RAM | 32 GB ROM | Expandable Upto 128 GB,15.21 cm (5.99 inch) Full HD+ Display,12MP Rear Camera | 5MP Front Camera,4000 mAh Li Polymer Battery
Redmi Note 4 (Lake Blue| 64 GB),12999,10999,Out Of Stock,4.4,4 GB RAM | 64 GB ROM | Expandable Upto 128 GB,13.97 cm (5.5 inch) Full HD Display,13MP Rear Camera | 5MP Front Camera,4100 mAh Li-Polymer Battery
Honor 4X Limited Version (Black| 8 GB),6899,6899,Out Of Stock,4.4,2 GB RAM | 8 GB ROM | Expandable Upto 32 GB,13.97 cm (5.5 inch) HD Display,13MP Rear Camera | 5MP Front Camera,3000 mAh Battery
Redmi 3S (Silver| 16 GB),6999,6999,Out Of Stock,4.3,2 GB RAM | 16 GB ROM | Expandable Upto 128 GB,12.7 cm (5 inch) HD Display,13MP Rear Camera | 5MP Front Camera,4100 mAh Li-Ion Polymer Battery
Samsung Galaxy J5 (Black| 8 GB),8999,8999,Out Of Stock,4.3,1.5 GB RAM | 8 GB ROM | Expandable Upto 128 GB,12.7 cm (5 inch) HD Display,13MP Rear Camera | 5MP Front Camera,2600 mAh Battery
OPPO A83 (2018 Edition) (Blue| 64 GB),12999,12999,Out Of Stock,4.2,4 GB RAM | 64 GB ROM |,14.48 cm (5.7 inch) Display,13MP Rear Camera | 8MP Front Camera,3180 mAh Battery
Redmi Y1 (Grey| 64 GB),11975,11975,Out Of Stock,4.1,4 GB RAM | 64 GB ROM | Expandable Upto 128 GB,13.97 cm (5.5 inch) HD Display,13MP Rear Camera | 16MP Front Camera,3080 mAh Battery
Redmi 4A (Dark Grey| 32 GB),6999,6999,Out Of Stock,4.3,3 GB RAM | 32 GB ROM | Expandable Upto 128 GB,12.7 cm (5 inch) HD Display,13MP Rear Camera | 5MP Front Camera,3120 mAh Li-polymer Battery
Redmi Y1 lite (Rose Gold| 16 GB),7999,7999,Out Of Stock,4.1,2 GB RAM | 16 GB ROM | Expandable Upto 128 GB,13.97 cm (5.5 inch) HD Display,13MP Rear Camera | 5MP Front Camera,3080 mAh Battery
Samsung Galaxy Note 3 Neo (White| 16 GB),11250,11250,Out Of Stock,4.2,2 GB RAM | 16 GB ROM | Expandable Upto 64 GB,13.97 cm (5.5 inch) HD Display,8MP Rear Camera | 2MP Front Camera,3100 mAh Li-Ion Battery
Moto G5 Plus (Fine Gold| 16 GB),10500,10500,Out Of Stock,4.3,3 GB RAM | 16 GB ROM | Expandable Upto 128 GB,13.21 cm (5.2 inch) Full HD Display,12MP Rear Camera | 5MP Front Camera,3000 mAh Battery
